medicine_name,mfg_name,comp_id
DECOMB 100MG TAB,ALDE MEDI IMPEX,3089
DIPLOFEN 100MG TAB,PHARMATECH HEALTHCARE,3089
DIPT TAB,RHINE BIOGENICS,3089
DOLCAZ 100MG TAB,GLOVEL HEALTHCARE PVT LTD,3089
DOLOKIND TAB,MANKIND PHARMA LTD,3089
DOLOWIN TAB,MICRO LABS LIMITED,3089
DOLOBEST TAB,TTK,3089
DOLOSAID 100MG TAB,UNIVENTIS MEDICARE LTD,3089
DORFEN 100MG TAB,TRIVENI FORMULATIONS,3089
DUOFEN TAB,BEFAM PHARMACEUTICALS,3089
ECLOFEN CAP,ABS REMEDIES,3089
ECLONAC 100MG TAB,JAGSONPAL PHARMACEUTICALS PVT LTD,3089
EDIFLAM TAB,EDEN HEALTHCARE,3089
FAST FIX 100MG TAB,WELLMARK LIFE SCIENCES,3089
FAZE 100MG TAB,ALBATROSS HEALTHCARE,3089
FENAICA 100MG TAB,SPICA LAB,3089
FENACLO 100MG TAB,BIOMAX BIOTECHNICS,3089
FENBEST 100MG TAB,MANEESH PHARMACEUTICALS,3089
FENOBAX 100MG TAB,BAXTON PHARMACIA,3089
FENODOL TAB,WYNCLARK PHARMACEUTICALS PVT LTD,3089
FENPURE TAB,BIOALTUS PHARMA,3089
FEPRA TAB,TRITON HEALTHCARE PVT LTD,3089
CONJUNAC 100MG TAB,GENPHARMA INTERNATIONAL PVT LTD,3089
CORONAC TAB,CORONYS HEALTHCARE PVT LTD,3089
CUREFLAM TAB,DR CURE PHARMACEUTICALS,3089
CYFEN 100MG TAB,NANO SYN ORGANICS PVT LTD,3089
CFINE 100MG TAB,EVITA HEALTHCARE,3089
FLAMACE 100MG TAB,BIOMAX BIOTECHNICS,3089
FLAMESE A 100MG TAB,MERIDIAN MEDICARE LTD,3089
FLEXY 100MG TAB,JERIST BIOTECH,3089
FLOZEN 100MG TAB,MANKIND PHARMA LTD,3089
CECLO 100MG TAB,ANDIC LIFESCIENCES PVT LTD,3089
CELONAC 100MG TAB,EMBIOTIC LABORATORIES,3089
CENCEX TAB,TROST MEDICARE,3089
EQUIDOL TAB,AKUMENTIS HEALTHCARE LTD,3089
ESCLO DT 100MG TAB,ESSARR,3089
BONDFLEX 100MG TAB,ENERGIZE PHARMACEUTICALS PVT LTD,3089
B DAC 100MG TAB,BIOCIN HEALTH CARE,3089
AERONAC TAB,CASSEL PHARMA,3089
AFEMAC 100MG TAB,MACRO PHARMA,3089
AFENAK TAB,MEDLEY PHARMACEUTICALS LTD,3089
AFEN 100MG TAB,PARASOL LABORATORIES,3089
AFENAC TAB,OSCAR REMEDIES PVT LTD,3089
AFENIC 100MG TAB,CUREX PHARMACEUTICALS PVT LTD,3089
AFESHINE TAB,SHINE PHARMACEUTICAL LTD,3089
AFESAN 100MG TAB,STAR BIOMED PVT LTD,3089
AFFEN 100MG TAB,DR REDDYS LABORATORIES LTD,3089
AKILOS 100MG TAB,UNISON PHARMACEUTICALS PVT LTD,3089
AKSON 100MG CAP,ORANGE RESEARCH LABS,3089
ALBIFLAM 100MG TAB,ALBIA BIOCARE,3089
ALDIGESIC 100MG TAB,ALKEM LABORATORIES LTD,3089
ALFANEC 100MG TAB,ADHYA PHARMACEUTICALS PVT LTD,3089
ALGESIA 100MG TAB,MACLEODS PHARMACEUTICALS LTD,3089
ALGONAC TAB,NEISS LABS LTD,3089
ALLPAIN 100MG TAB,MEYER ORGANICS PVT LTD,3089
ALONAC TAB,EAST WEST PHARMA,3089
ALO 100MG TAB,SVR HEALTHCARE,3089
ALTO 100MG TAB,SAIN MEDICAMENTS PVT LTD,3089
ALTRAFLAM TAB,RANBAXY,3089
ANACE 100MG TAB,ACEKINETICS HEALTHCARE,3089
ANCIP 100MG TAB,SURAKSHA PHARMA,3089
ANGOFEN 100MG TAB,AINGO PHARMA,3089
APAZINE 100MG TAB,BIOTIC HEALTHCARE,3089
APSERA 100MG TAB,BHAVI HEALTHCARE PVT LTD,3089
